field;region;land_type;fertility_score;season;crop;crop_predecessor;crop_yearold;area;hybrid;reproduction;seed_origin;technology;yield_plan;p2o5;k2o;humus;ph;
22.47.01.023.00;Алтай;пашня;3;2023;Пар;Пар;;83,58;;;;;;182,49;297,11;3,85;6,16;
22.47.01.024.00;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;130,48;;;;минимальная;;166,43;239,91;4,18;5,39;
22.47.01.025.00;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;75,44;;;;минимальная;;175,34;311,30;3,74;5,39;
22.47.01.026.00;Алтай;пашня;4;2023;Пар;Яр.пшеница мягкая;;32,55;;;;минимальная;;172,15;311,08;3,74;5,61;
22.47.01.027.00;Алтай;пашня;4;2023;Пар;Яр.пшеница мягкая;;108,79;;;;минимальная;;176,66;310,86;3,52;5,61;
22.47.01.028.00;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;138,97;;;;минимальная;;165,55;273,79;4,07;5,61;
22.47.01.029.01;Алтай;пашня;3;2023;Пар;Пар;;11,02;;;;;;170,50;231,00;4,95;5,72;
22.47.01.029.02;Алтай;пашня;3;2023;Залежь, лес;Залежь, лес;;12,32;;;;;;170,50;231,00;4,95;5,72;
22.47.01.030.00;Алтай;пашня;3;2023;Яр.пшеница мягкая;Оз.пшеница мягкая;;152,41;Ликамеро;ЭС;Покупные;минимальная;3,30;260,04;124,19;3,63;6,71;
22.47.01.031.00;Алтай;пашня;3;2023;Яр.пшеница мягкая;Оз.пшеница мягкая;;86,21;Ликамеро;ЭС;Покупные;минимальная;3,30;236,61;165,66;4,29;6,71;
22.47.01.032.00;Алтай;пашня;3;2023;Яр.пшеница мягкая;Оз.пшеница мягкая;;196,25;Ликамеро;ЭС;Покупные;минимальная;3,30;241,78;158,40;3,41;6,71;
22.47.01.033.00;Алтай;пашня;3;2023;Пар;Оз.пшеница мягкая;;237,17;;;;;;264,00;135,08;3,63;6,27;
22.47.01.034.00;Алтай;пашня;3;2023;Залежь, лес;Залежь, лес;;147,71;;;;;;0,00;0,00;0,00;0,00;
22.47.01.035.00;Алтай;пашня;3;2023;Яр.пшеница мягкая;Оз.пшеница мягкая;;116,80;;;;;3,30;289,74;252,78;4,29;6,38;
22.47.01.036.00;Алтай;пашня;3;2023;Залежь;Залежь;;4,83;;;;;;201,30;320,10;3,85;5,28;
22.47.01.037.00;Алтай;пашня;3;2023;Пар;Пар;;44,46;;;;;;176,00;280,06;4,18;6,16;
22.47.01.038.01;Алтай;пашня;3;2023;Пар;Пар;;62,86;;;;;;165,17;285,23;3,69;6,22;
22.47.01.038.02;Алтай;пашня;3;2023;Залежь, кустарник;Залежь, кустарник;;76,30;;;;;;165,17;285,23;3,69;6,22;
22.47.03.001.00;Алтай;пашня;2;2023;Залежь, кустарник;Залежь, кустарник;;96,97;;;;;;170,94;172,59;3,19;5,72;
22.47.03.002.00;Алтай;пашня;2;2023;Залежь, кустарник;Залежь, кустарник;;95,07;;;;;;183,81;199,76;3,96;5,72;
22.47.03.003.00;Алтай;пашня;2;2023;Залежь, кустарник;Залежь, кустарник;;40,86;;;;;;0,00;0,00;0,00;0,00;
22.47.03.004.00;Алтай;пашня;2;2023;Залежь, лес;Залежь, кустарник;;314,27;;;;;;0,00;0,00;0,00;0,00;
22.47.03.005.00;Алтай;пашня;2;2023;Залежь, лес;Залежь, кустарник;;239,66;;;;;;0,00;0,00;0,00;0,00;
22.47.05.001.00;Алтай;пашня;3;2023;Люцерна 1 г.ж.корм;Оз.пшеница мягкая;1;199,71;;;Покупные;минимальная;;167,75;386,87;3,52;5,61;
22.47.05.002.00;Алтай;пашня;3;2023;Люцерна 1 г.ж.корм;Оз.пшеница мягкая;1;75,50;;;Покупные;минимальная;;163,46;365,09;3,08;5,61;
22.47.05.003.00;Алтай;пашня;3;2023;Люцерна 1 г.ж.корм;Оз.пшеница мягкая;1;192,85;;;Покупные;минимальная;;168,19;304,70;3,30;5,72;
22.47.05.004.00;Алтай;пашня;3;2023;Кукуруза силос;Пар;;316,08;П 7043;F1;Покупные;классическая с плугом;8,50;161,59;323,73;3,63;5,50;
22.47.05.005.00;Алтай;пашня;3;2023;Кукуруза силос;Оз.пшеница мягкая;;365,03;;;Покупные;классическая с плугом;8,50;177,54;280,72;3,63;5,50;
22.47.05.006.01;Алтай;пашня;3;2023;Люцерна пр.лет корм;Люцерна пр.лет корм;5;196,29;Дакота;;Покупные;минимальная;3,80;154,99;287,98;3,85;5,83;
22.47.05.006.02;Алтай;пашня;3;2023;Залежь, кустарник;Залежь, кустарник;;31,71;;;;;;154,99;287,98;3,85;5,83;
22.47.05.007.01;Алтай;пашня;3;2023;Люцерна пр.лет корм;Люцерна пр.лет корм;5;216,53;;;;классическая с плугом;3,80;184,97;250,31;3,80;5,56;
22.47.05.007.02;Алтай;пашня;3;2023;Одн.тр.(вика+овёс)корм;Кукуруза силос;;177,16;;;;;3,00;184,97;250,31;3,80;5,56;
22.47.10.001.00;Алтай;пашня;3;2023;Одн.тр.(вика+овёс)корм;Кукуруза силос;;272,29;;;;;3,00;174,02;300,63;4,07;5,61;
22.47.10.002.00;Алтай;пашня;3;2023;Кукуруза силос;Лён масличный;;152,97;;РС-1;Покупные;минимальная;8,50;176,55;277,31;4,51;5,94;
22.47.10.003.00;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;585,66;Скипетр;ЭС;Покупные;минимальная;3,80;159,94;292,93;3,74;6,05;
22.47.10.004.00;Алтай;пашня;2;2023;Оз.пшеница мягкая;Пар;;271,44;Скипетр;ЭС;Покупные;минимальная;3,80;172,37;275,33;3,74;6,27;
22.47.10.005.01;Алтай;пашня;3;2023;Строительство;Строительство;;84,84;;;;;;195,25;325,38;3,52;5,61;
22.47.10.005.02;Алтай;пашня;3;2023;Одн.тр.(вика+овёс)корм;Кукуруза силос;;218,27;;;;;3,00;195,25;325,38;3,52;5,61;
22.47.10.005.03;Алтай;пашня;3;2023;Пар;Кострец пр.лет корм;;50,75;;;;;;195,25;325,38;3,52;5,61;
22.47.10.006.01;Алтай;пашня;3;2023;Кукуруза силос;Лён масличный;;104,10;;;Покупные;минимальная;8,50;162,86;243,60;4,07;6,05;
22.47.10.006.02;Алтай;пашня;3;2023;Кукуруза силос;Лён масличный;;100,00;;;Покупные;минимальная;8,50;162,86;243,60;4,07;6,05;
22.47.10.007.00;Алтай;пашня;3;2023;Одн.тр.(вика+овёс)корм;Кукуруза силос;;272,12;;;;;3,00;155,98;234,74;3,96;6,05;
22.47.10.008.00;Алтай;пашня;3;2023;Люцерна пр.лет корм;Люцерна пр.лет корм;4;262,81;Дакота;;Покупные;минимальная;3,80;0,00;0,00;0,00;0,00;
22.47.10.009.00;Алтай;пашня;3;2023;Кукуруза силос;Лён масличный;;159,75;;;Покупные;минимальная;8,50;166,32;257,62;3,52;5,94;
22.47.10.010.00;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;58,52;Скипетр;ЭС;Покупные;минимальная;3,80;192,28;364,98;2,75;5,94;
22.47.10.011.01;Алтай;пашня;3;2023;Кукуруза силос;Яр.пшеница мягкая;;140,00;Росс 140 СВ+;РС-1;Покупные;минимальная;8,50;162,64;267,08;4,18;6,44;
22.47.10.011.02;Алтай;пашня;3;2023;Кукуруза силос;Яр.пшеница мягкая;;93,55;;РС-1;Покупные;минимальная;8,50;162,64;267,08;4,18;6,44;
22.47.10.012.01;Алтай;пашня;3;2023;Кукуруза силос;Яр.пшеница мягкая;;77,55;;РС-1;Покупные;минимальная;8,50;147,62;256,92;3,67;6,16;
22.47.10.012.02;Алтай;пашня;3;2023;Кукуруза силос;Яр.пшеница мягкая;;128,66;;;Покупные;минимальная;8,50;147,62;256,92;3,67;6,16;
22.47.10.012.03;Алтай;пашня;3;2023;Залежь;Яр.пшеница мягкая;;3,17;;;;минимальная;;147,62;256,92;3,67;6,16;
22.47.10.013.01;Алтай;пашня;1;2023;Пар;Яр.пшеница мягкая;;110,41;;;;;;176,99;298,21;3,96;6,49;
22.47.10.013.02;Алтай;пашня;1;2023;Залежь, лес;Залежь, лес;;306,42;;;;;;176,99;298,21;3,96;6,49;
22.47.10.013.03;Алтай;пашня;1;2023;Залежь, лес;Залежь, лес;;19,55;;;;;;176,99;298,21;3,96;6,49;
22.47.10.014.00;Алтай;пашня;2;2023;Кукуруза силос;Оз.пшеница мягкая;;300,58;;;;;8,50;172,26;291,61;3,30;6,27;
22.47.10.015.01;Алтай;пашня;2;2023;Кукуруза силос;Яр.пшеница мягкая;;157,63;;РС-1;Покупные;минимальная;8,50;149,16;245,74;3,96;6,05;
22.47.10.015.02;Алтай;пашня;2;2023;Залежь;Залежь;;13,47;;;;;;149,16;245,74;3,96;6,05;
22.47.10.016.00;Алтай;пашня;3;2023;Кукуруза силос;Пар;;432,37;П 7043;F1;Покупные;классическая с плугом;8,50;191,29;317,35;3,96;5,61;
22.47.10.017.00;Алтай;пашня;3;2023;Кукуруза силос;Лён масличный;;73,69;Ликамеро;;Покупные;минимальная;8,50;150,26;214,83;4,07;6,38;
22.47.10.018.00;Алтай;пашня;3;2023;Кукуруза силос;Лён масличный;;10,84;;;Покупные;минимальная;8,50;112,20;213,40;4,07;5,83;
22.47.10.019.00;Алтай;пашня;3;2023;Кукуруза силос;Яр.пшеница мягкая;;51,62;;;Покупные;минимальная;8,50;163,13;246,18;4,40;6,27;
22.47.11.001.00;Алтай;пашня;3;2023;Одн.тр.(вика+овёс)корм;Яр.ячмень;;274,36;;;;;3,00;250,36;109,12;3,30;5,83;
22.47.11.002.00;Алтай;пашня;4;2023;Яр.пшеница мягкая;Пар;;214,84;Ликамеро;ЭС;Покупные;минимальная;3,30;236,61;122,65;3,74;5,83;
22.47.11.003.00;Алтай;пашня;3;2023;Яр.ячмень;Яр.пшеница мягкая;;270,54;Маргрет;РС-1;Покупные;минимальная;3,33;245,08;197,23;4,51;5,50;
22.47.11.004.00;Алтай;пашня;4;2023;Яр.ячмень;Горох;;66,28;Маргрет;РС-1;Покупные;минимальная;3,33;170,06;288,09;3,74;6,16;
22.47.11.005.00;Алтай;пашня;4;2023;Яр.ячмень;Горох;;252,76;Маргрет;РС-1;Покупные;минимальная;3,33;189,97;267,52;4,29;5,72;
22.47.11.006.00;Алтай;пашня;4;2023;Чечевица;Пар;;258,72;;РС-1;Покупные;минимальная;1,90;216,04;221,10;4,40;5,83;
22.47.11.007.00;Алтай;пашня;3;2023;Пар;Яр.ячмень;;217,41;;;;минимальная;;263,01;121,22;2,75;5,83;
22.47.11.008.00;Алтай;пашня;4;2023;Одн.тр.(вика+овёс)корм;Яр.ячмень;;190,30;;;Покупные;минимальная;3,00;246,07;143,44;3,08;5,61;
22.47.11.009.00;Алтай;пашня;4;2023;Яр.пшеница мягкая;Соя;;473,95;Ликамеро;ЭС;Покупные;минимальная;3,30;268,62;143,44;4,18;5,72;
22.47.11.010.00;Алтай;пашня;4;2023;Яр.ячмень;Горох;;78,12;Маргрет;РС-1;Покупные;минимальная;3,33;155,21;283,58;4,18;6,38;
22.47.11.011.01;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;79,10;;;;;;211,37;182,44;3,99;6,02;
22.47.11.011.02;Алтай;пашня;3;2023;Залежь, лес;Залежь, лес;;29,41;;;;;;211,37;182,44;3,99;6,02;
22.47.11.011.03;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;14,00;;;;;;211,37;182,44;3,99;6,02;
22.47.11.011.04;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;3,46;;;;;;211,37;182,44;3,99;6,02;
22.47.11.012.00;Алтай;пашня;2;2023;Пар;Пар;;4,74;;;;;;190,30;291,50;3,74;6,16;
22.47.11.013.00;Алтай;пашня;3;2023;Яр.ячмень;Горох;;69,06;Маргрет;РС-1;Покупные;минимальная;3,33;228,47;176,77;4,51;5,94;
22.47.11.014.00;Алтай;пашня;3;2023;Одн.тр.(вика+овёс)корм;Яр.ячмень;;312,27;;РС-1;Покупные;минимальная;3,00;312,18;134,42;3,30;5,61;
22.47.11.015.00;Алтай;пашня;4;2023;Одн.тр.(вика+овёс)корм;Яр.ячмень;;205,95;;РС-1;Покупные;минимальная;3,00;283,91;129,25;3,19;5,61;
22.47.11.016.00;Алтай;пашня;4;2023;Яр.ячмень;Горох;;21,76;Маргрет;РС-3;Покупные;минимальная;3,33;264,33;111,87;3,96;5,83;
22.47.11.017.00;Алтай;пашня;4;2023;Яр.ячмень;Горох;;21,84;Маргрет;РС-3;Покупные;минимальная;3,33;253,33;174,90;4,07;5,72;
22.47.11.018.00;Алтай;пашня;4;2023;Яр.ячмень;Горох;;40,14;Маргрет;РС-3;Покупные;минимальная;3,33;314,38;163,02;3,74;5,72;
22.47.11.019.00;Алтай;пашня;4;2023;Яр.ячмень;Горох;;35,65;Маргрет;РС-3;Покупные;минимальная;3,33;260,15;185,90;3,52;5,61;
22.47.11.020.00;Алтай;пашня;4;2023;Соя;Яр.пшеница мягкая;;38,63;СИБНИИК 9;РС-1;Покупные;минимальная;1,40;316,03;126,50;3,19;5,50;
22.47.11.021.00;Алтай;пашня;4;2023;Соя;Яр.пшеница мягкая;;36,64;СИБНИИК 9;РС-1;Покупные;минимальная;1,40;328,46;146,08;3,74;5,50;
22.47.11.022.00;Алтай;пашня;4;2023;Соя;Яр.пшеница мягкая;;41,32;СИБНИИК 9;РС-1;Покупные;минимальная;1,40;295,68;144,76;3,85;5,72;
22.47.11.023.00;Алтай;пашня;4;2023;Соя;Яр.пшеница мягкая;;36,57;СИБНИИК 9;РС-1;Покупные;минимальная;1,40;388,85;320,98;3,85;5,72;
22.47.11.024.00;Алтай;пашня;4;2023;Соя;Яр.пшеница мягкая;;84,15;СИБНИИК 9;РС-1;Покупные;минимальная;1,40;267,08;160,27;3,63;5,72;
22.47.11.025.01;Алтай;пашня;4;2023;Соя;Яр.пшеница мягкая;;120,95;СИБНИИК 9;РС-1;Покупные;минимальная;1,40;274,56;145,97;4,07;5,83;
22.47.11.025.02;Алтай;пашня;4;2023;Люпин белый;Яр.пшеница мягкая;;4,86;;;;;;274,56;145,97;4,07;5,83;
22.47.11.026.00;Алтай;пашня;3;2023;Яр.пшеница мягкая;Яр.пшеница мягкая;;80,97;Ликамеро;ЭС;Покупные;минимальная;3,30;231,11;199,10;4,40;5,72;
22.47.11.027.00;Алтай;пашня;3;2023;Яр.пшеница мягкая;Овёс;;59,49;Ликамеро;ЭС;Покупные;минимальная;3,30;239,25;175,12;4,18;5,61;
22.47.11.028.00;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;31,79;Скипетр;ЭС;Покупные;минимальная;3,80;239,80;159,61;4,40;5,72;
22.47.11.029.01;Алтай;пашня;3;2023;Яр.ячмень;Горох;;114,55;Маргрет;РС-3;Покупные;минимальная;3,33;250,69;162,47;4,51;5,72;
22.47.11.029.02;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;191,60;Скипетр;ЭС;Покупные;минимальная;3,80;250,69;162,47;4,51;5,72;
22.47.11.030.01;Алтай;пашня;3;2023;Одн.тр.(вика+овёс)корм;Пар;;133,18;;;Покупные;минимальная;3,00;379,17;196,57;3,08;5,72;
22.47.11.030.02;Алтай;пашня;3;2023;Яр.ячмень;Оз.пшеница мягкая;;113,92;;РС-3;Покупные;минимальная;3,33;379,17;196,57;3,08;5,72;
22.47.11.031.00;Алтай;пашня;4;2023;Яр.ячмень;Пар;;113,15;Маргрет;РС-3;Покупные;минимальная;3,33;298,43;125,18;3,30;5,72;
22.47.11.032.00;Алтай;пашня;4;2023;Соя;Яр.пшеница мягкая;;122,06;;РС-1;Покупные;минимальная;1,40;374,88;132,77;3,85;5,72;
22.47.11.033.01;Алтай;пашня;3;2023;Соя;Яр.пшеница мягкая;;271,39;СИБНИИК 9;РС-1;Покупные;минимальная;1,40;334,40;162,25;3,52;5,72;
22.47.11.033.02;Алтай;пашня;3;2023;Яр.ячмень;Горох;;171,88;Маргрет;РС-1;Покупные;минимальная;3,33;334,40;162,25;3,52;5,72;
46.11.01.001.00;Курск;пашня;3;2023;Соя;Яр.пшеница твёрдая;;123,77;ГЛ Мелани;;;;2,09;105,60;188,10;6,05;5,72;
46.11.01.002.00;Курск;пашня;4;2023;Пар;Яр.пшеница твёрдая;;192,00;;;;;;61,60;143,00;6,60;5,28;
46.11.01.003.00;Курск;пашня;3;2023;Яр.ячмень;Горох;;8,18;Грэйс;;;;5,18;0,00;0,00;0,00;0,00;
46.22.01.001.01;Курск;пашня;4;2023;Соя;Яр.пшеница мягкая;;55,07;ОАК Пруденс;;;;2,09;103,57;93,92;5,69;5,40;
46.22.01.001.02;Курск;пашня;4;2023;Соя;Яр.пшеница мягкая;;194,75;ОАК Пруденс;;;;2,09;103,57;93,92;5,69;5,40;
46.22.01.002.00;Курск;пашня;3;2023;Яр.ячмень;Соя;;162,45;Эксплоер;;;;5,18;61,67;88,69;5,32;5,48;
46.22.01.003.00;Курск;пашня;4;2023;Яр.пшеница мягкая;Соя;;217,98;Ликамеро;;;;5,00;130,01;99,00;5,84;5,58;
46.22.01.004.00;Курск;пашня;4;2023;Чечевица;Оз.пшеница мягкая;;50,69;Кермит;;;;2,00;73,39;103,71;6,14;5,59;
46.22.01.005.00;Курск;пашня;4;2023;Яр.пшеница мягкая;Соя;;127,06;Ликамеро;;;;5,00;116,77;111,44;5,66;5,72;
46.22.01.006.00;Курск;пашня;4;2023;Яр.пшеница мягкая;Соя;;68,80;Ликамеро;;;;5,00;126,03;90,99;5,47;5,53;
46.22.01.008.00;Курск;пашня;3;2023;Яр.пшеница мягкая;Нут;;104,67;Ликамеро;;;;5,00;90,86;99,55;5,61;5,47;
46.22.01.009.00;Курск;пашня;4;2023;Яр.пшеница мягкая;Нут;;41,48;Ликамеро;;;;5,00;81,13;79,48;5,77;5,69;
46.22.01.010.00;Курск;пашня;4;2023;Яр.пшеница мягкая;Нут;;6,34;Ликамеро;;;;5,00;58,30;89,10;5,50;5,72;
46.22.01.011.00;Курск;пашня;4;2023;Яр.пшеница мягкая;Соя;;230,46;Ликамеро;;;;5,00;164,95;98,95;5,92;6,27;
46.22.01.012.00;Курск;пашня;4;2023;Яр.пшеница мягкая;Соя;;39,80;Канюк;;;;5,00;43,73;97,08;5,23;5,50;
46.22.01.013.00;Курск;пашня;4;2023;Яр.пшеница мягкая;Соя;;6,26;Канюк;;;;5,00;40,70;94,60;6,71;5,39;
46.22.01.014.01;Курск;пашня;4;2023;Яр.пшеница твёрдая;Соя;;15,70;Памяти Янченко;;;;3,84;119,63;77,60;5,50;5,98;
46.22.01.014.02;Курск;пашня;4;2023;Яр.пшеница твёрдая;Соя;;17,00;Памяти Янченко;;;;3,84;119,63;77,60;5,50;5,98;
46.22.01.014.03;Курск;пашня;4;2023;Яр.пшеница твёрдая;Соя;;114,70;Памяти Янченко;;;;3,84;119,63;77,60;5,50;5,98;
46.22.01.015.00;Курск;пашня;4;2023;Яр.пшеница мягкая;Нут;;42,44;Ликамеро;;;;5,00;91,74;98,56;5,61;6,16;
46.22.01.016.00;Курск;пашня;4;2023;Яр.пшеница мягкая;Соя;;53,72;Ликамеро;;;;5,00;75,72;103,03;5,48;5,74;
46.22.01.017.00;Курск;пашня;3;2023;Яр.пшеница мягкая;Чечевица;;167,00;Канюк;;;;5,00;87,73;82,36;5,58;5,99;
46.22.01.018.01;Курск;пашня;3;2023;Яр.пшеница мягкая;"Лён масличный; Чечевица";;58,00;Канюк;;;;5,00;65,48;76,59;6,01;6,04;
46.22.01.018.02;Курск;пашня;3;2023;Яр.пшеница мягкая;"Лён масличный; Чечевица";;64,00;Канюк;;;;5,00;65,48;76,59;6,01;6,04;
46.22.01.018.03;Курск;пашня;3;2023;Яр.пшеница мягкая;"Лён масличный; Чечевица";;417,32;Канюк;;;;5,00;65,48;76,59;6,01;6,04;
46.22.01.019.01;Курск;пашня;3;2023;Яр.пшеница мягкая;Соя;;13,00;Канюк;;;;5,00;122,89;98,61;5,70;6,27;
46.22.01.019.02;Курск;пашня;3;2023;Яр.пшеница мягкая;Соя;;92,22;Канюк;;;;5,00;122,89;98,61;5,70;6,27;
46.22.01.020.00;Курск;пашня;3;2023;Яр.пшеница мягкая;Соя;;14,16;Канюк;;;;5,00;276,65;67,65;5,66;5,45;
46.22.01.021.00;Курск;пашня;3;2023;Яр.пшеница мягкая;Соя;;11,63;Канюк;;;;5,00;85,25;78,65;6,27;6,27;
46.22.01.022.00;Курск;пашня;3;2023;Яр.пшеница мягкая;Чечевица;;75,46;Канюк;;;;5,00;238,01;81,54;5,68;7,11;
46.22.01.023.00;Курск;пашня;3;2023;Яр.пшеница мягкая;Соя;;18,74;Канюк;;;;5,00;26,40;164,45;7,70;7,65;
46.22.01.024.00;Курск;пашня;3;2023;Яр.пшеница мягкая;Чечевица;;48,72;Канюк;;;;5,00;81,18;94,82;5,76;6,31;
46.22.01.025.00;Курск;пашня;3;2023;Яр.пшеница мягкая;Чечевица;;143,93;Канюк;;;;5,00;80,61;83,44;5,94;6,47;
46.28.05.002.00;Курск;пашня;3;2023;Кукуруза зерно;Яр.пшеница мягкая;;244,98;;;;;6,88;82,50;150,70;6,60;7,04;
46.28.05.003.00;Курск;пашня;3;2023;Соя;Яр.ячмень;;146,21;Акцент 0852;;;;2,09;67,10;113,30;7,04;6,05;
46.28.05.004.00;Курск;пашня;3;2023;Горох;Яр.пшеница мягкая;;250,10;Мадрас;;;;3,12;64,90;155,10;6,38;6,27;
46.28.05.005.00;Курск;пашня;3;2023;Горох;Яр.пшеница мягкая;;162,71;Мадрас;;;;3,12;135,30;167,20;6,60;6,93;
46.28.05.006.00;Курск;пашня;3;2023;Овёс;Оз.пшеница мягкая;;202,23;Авеню;;;;4,00;101,20;111,10;6,49;6,05;
46.28.05.007.00;Курск;пашня;3;2023;Соя;Кукуруза зерно;;66,47;Акцент;;;;2,09;94,60;141,90;6,71;6,38;
46.28.05.008.00;Курск;пашня;3;2023;Соя;Оз.пшеница мягкая;;98,93;Аргента;;;;2,09;122,10;202,40;6,38;6,60;
46.28.05.009.00;Курск;пашня;4;2023;Соя;Яр.пшеница мягкая;;164,39;ГЛ Мелани;;;;2,09;89,10;151,80;7,04;6,05;
46.28.05.010.00;Курск;пашня;3;2023;Соя;Яр.ячмень;;152,72;Аргента;;;;2,09;95,70;139,70;6,71;6,71;
46.28.05.011.00;Курск;пашня;4;2023;Соя;Яр.пшеница мягкая;;120,25;Акцент;;;;2,09;106,70;165,00;6,38;6,05;
46.28.05.012.00;Курск;пашня;3;2023;Соя;Яр.ячмень;;10,68;Аргента;;;;2,09;130,90;229,90;6,93;6,16;
46.28.05.013.00;Курск;пашня;3;2023;Соя;Яр.пшеница мягкая;;13,80;Аргента;;;;2,09;97,90;181,50;6,27;5,94;
46.28.05.014.00;Курск;пашня;4;2023;Соя;Яр.пшеница мягкая;;13,81;Аргента;;;;2,09;124,30;184,80;6,60;6,71;
46.28.05.015.00;Курск;пашня;4;2023;Соя;Яр.пшеница мягкая;;116,60;Аргента;;;;2,09;98,45;188,10;6,60;5,89;
46.28.05.016.00;Курск;пашня;4;2023;Соя;Яр.ячмень;;77,63;Аргента;;;;2,09;0,00;0,00;0,00;0,00;
46.28.05.017.01;Курск;пашня;4;2023;Чечевица;Яр.ячмень;;107,17;Кермит;;;;2,00;63,80;172,70;6,71;5,72;
46.28.05.017.02;Курск;пашня;;2023;Не используется, чужая земля;Не используется;;18,01;;;;;;63,80;172,70;6,71;5,72;
46.28.05.018.00;Курск;пашня;3;2023;Гречиха;Яр.ячмень;;163,11;Диана;;;;1,50;73,70;185,90;6,27;5,83;
