field;region;land_type;fertility_score;season;crop;crop_predecessor;crop_yearold;area;hybrid;reproduction;seed_origin;technology;yield_plan;p2o5;k2o;humus;ph
22.47.05.007.02;Алтай;пашня;3;2023;Одн.тр.(вика+овёс)корм;Кукуруза силос;;177,16;;;;;3,00;168,15;227,55;3,45;5,05
22.47.10.001.00;Алтай;пашня;3;2023;Одн.тр.(вика+овёс)корм;Кукуруза силос;;272,29;;;;;3,00;158,20;273,30;3,70;5,10
22.47.10.002.00;Алтай;пашня;3;2023;Кукуруза силос;Лён масличный;;152,97;;РС-1;Покупные;минимальная;8,50;160,50;252,10;4,10;5,40
22.47.10.003.00;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;585,66;Скипетр;ЭС;Покупные;минимальная;3,80;145,40;266,30;3,40;5,50
22.47.10.004.00;Алтай;пашня;2;2023;Оз.пшеница мягкая;Пар;;271,44;Скипетр;ЭС;Покупные;минимальная;3,80;156,70;250,30;3,40;5,70
22.47.10.005.01;Алтай;пашня;3;2023;Строительство;Строительство;;84,84;;;;;;177,50;295,80;3,20;5,10
22.47.10.005.02;Алтай;пашня;3;2023;Одн.тр.(вика+овёс)корм;Кукуруза силос;;218,27;;;;;3,00;177,50;295,80;3,20;5,10
22.47.10.005.03;Алтай;пашня;3;2023;Пар;Кострец пр.лет корм;;50,75;;;;;;177,50;295,80;3,20;5,10
22.47.10.006.01;Алтай;пашня;3;2023;Кукуруза силос;Лён масличный;;104,10;;;Покупные;минимальная;8,50;148,05;221,45;3,70;5,50
22.47.10.006.02;Алтай;пашня;3;2023;Кукуруза силос;Лён масличный;;100,00;;;Покупные;минимальная;8,50;148,05;221,45;3,70;5,50
22.47.10.007.00;Алтай;пашня;3;2023;Одн.тр.(вика+овёс)корм;Кукуруза силос;;272,12;;;;;3,00;141,80;213,40;3,60;5,50
22.47.10.008.00;Алтай;пашня;3;2023;Люцерна пр.лет корм;Люцерна пр.лет корм;4;262,81;Дакота;;Покупные;минимальная;3,80;;;;
22.47.10.009.00;Алтай;пашня;3;2023;Кукуруза силос;Лён масличный;;159,75;;;Покупные;минимальная;8,50;151,20;234,20;3,20;5,40
22.47.10.010.00;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;58,52;Скипетр;ЭС;Покупные;минимальная;3,80;174,80;331,80;2,50;5,40
22.47.10.011.01;Алтай;пашня;3;2023;Кукуруза силос;Яр.пшеница мягкая;;140,00;Росс 140 СВ+;РС-1;Покупные;минимальная;8,50;147,85;242,80;3,80;5,85
22.47.10.011.02;Алтай;пашня;3;2023;Кукуруза силос;Яр.пшеница мягкая;;93,55;;РС-1;Покупные;минимальная;8,50;147,85;242,80;3,80;5,85
22.47.10.012.01;Алтай;пашня;3;2023;Кукуруза силос;Яр.пшеница мягкая;;77,55;;РС-1;Покупные;минимальная;8,50;134,20;233,57;3,33;5,60
22.47.10.012.02;Алтай;пашня;3;2023;Кукуруза силос;Яр.пшеница мягкая;;128,66;;;Покупные;минимальная;8,50;134,20;233,57;3,33;5,60
22.47.10.012.03;Алтай;пашня;3;2023;Залежь;Яр.пшеница мягкая;;3,17;;;;минимальная;;134,20;233,57;3,33;5,60
22.47.10.013.01;Алтай;пашня;1;2023;Пар;Яр.пшеница мягкая;;110,41;;;;;;160,90;271,10;3,60;5,90
22.47.10.013.02;Алтай;пашня;1;2023;Залежь, лес;Залежь, лес;;306,42;;;;;;160,90;271,10;3,60;5,90
22.47.10.013.03;Алтай;пашня;1;2023;Залежь, лес;Залежь, лес;;19,55;;;;;;160,90;271,10;3,60;5,90
22.47.10.014.00;Алтай;пашня;2;2023;Кукуруза силос;Оз.пшеница мягкая;;300,58;;;;;8,50;156,60;265,10;3,00;5,70
22.47.10.015.01;Алтай;пашня;2;2023;Кукуруза силос;Яр.пшеница мягкая;;157,63;;РС-1;Покупные;минимальная;8,50;135,60;223,40;3,60;5,50
22.47.10.015.02;Алтай;пашня;2;2023;Залежь;Залежь;;13,47;;;;;;135,60;223,40;3,60;5,50
22.47.10.016.00;Алтай;пашня;3;2023;Кукуруза силос;Пар;;432,37;П 7043;F1;Покупные;классическая с плугом;8,50;173,90;288,50;3,60;5,10
22.47.10.017.00;Алтай;пашня;3;2023;Кукуруза силос;Лён масличный;;73,69;Ликамеро;;Покупные;минимальная;8,50;136,60;195,30;3,70;5,80
22.47.10.018.00;Алтай;пашня;3;2023;Кукуруза силос;Лён масличный;;10,84;;;Покупные;минимальная;8,50;102,00;194,00;3,70;5,30
22.47.10.019.00;Алтай;пашня;3;2023;Кукуруза силос;Яр.пшеница мягкая;;51,62;;;Покупные;минимальная;8,50;148,30;223,80;4,00;5,70
22.47.11.001.00;Алтай;пашня;3;2023;Одн.тр.(вика+овёс)корм;Яр.ячмень;;274,36;;;;;3,00;227,60;99,20;3,00;5,30
22.47.11.002.00;Алтай;пашня;4;2023;Яр.пшеница мягкая;Пар;;214,84;Ликамеро;ЭС;Покупные;минимальная;3,30;215,10;111,50;3,40;5,30
22.47.11.003.00;Алтай;пашня;3;2023;Яр.ячмень;Яр.пшеница мягкая;;270,54;Маргрет;РС-1;Покупные;минимальная;3,33;222,80;179,30;4,10;5,00
22.47.11.004.00;Алтай;пашня;4;2023;Яр.ячмень;Горох;;66,28;Маргрет;РС-1;Покупные;минимальная;3,33;154,60;261,90;3,40;5,60
22.47.11.005.00;Алтай;пашня;4;2023;Яр.ячмень;Горох;;252,76;Маргрет;РС-1;Покупные;минимальная;3,33;172,70;243,20;3,90;5,20
22.47.11.006.00;Алтай;пашня;4;2023;Чечевица;Пар;;258,72;;РС-1;Покупные;минимальная;1,90;196,40;201,00;4,00;5,30
22.47.11.007.00;Алтай;пашня;3;2023;Пар;Яр.ячмень;;217,41;;;;минимальная;;239,10;110,20;2,50;5,30
22.47.11.008.00;Алтай;пашня;4;2023;Одн.тр.(вика+овёс)корм;Яр.ячмень;;190,30;;;Покупные;минимальная;3,00;223,70;130,40;2,80;5,10
22.47.11.009.00;Алтай;пашня;4;2023;Яр.пшеница мягкая;Соя;;473,95;Ликамеро;ЭС;Покупные;минимальная;3,30;244,20;130,40;3,80;5,20
22.47.11.010.00;Алтай;пашня;4;2023;Яр.ячмень;Горох;;78,12;Маргрет;РС-1;Покупные;минимальная;3,33;141,10;257,80;3,80;5,80
22.47.11.011.01;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;79,10;;;;;;192,15;165,85;3,63;5,48
22.47.11.011.02;Алтай;пашня;3;2023;Залежь, лес;Залежь, лес;;29,41;;;;;;192,15;165,85;3,63;5,48
22.47.11.011.03;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;14,00;;;;;;192,15;165,85;3,63;5,48
22.47.11.011.04;Алтай;пашня;3;2023;Пар;Яр.пшеница мягкая;;3,46;;;;;;192,15;165,85;3,63;5,48
22.47.11.012.00;Алтай;пашня;2;2023;Пар;Пар;;4,74;;;;;;173,00;265,00;3,40;5,60
22.47.11.013.00;Алтай;пашня;3;2023;Яр.ячмень;Горох;;69,06;Маргрет;РС-1;Покупные;минимальная;3,33;207,70;160,70;4,10;5,40
22.47.11.014.00;Алтай;пашня;3;2023;Одн.тр.(вика+овёс)корм;Яр.ячмень;;312,27;;РС-1;Покупные;минимальная;3,00;283,80;122,20;3,00;5,10
22.47.11.015.00;Алтай;пашня;4;2023;Одн.тр.(вика+овёс)корм;Яр.ячмень;;205,95;;РС-1;Покупные;минимальная;3,00;258,10;117,50;2,90;5,10
22.47.11.016.00;Алтай;пашня;4;2023;Яр.ячмень;Горох;;21,76;Маргрет;РС-3;Покупные;минимальная;3,33;240,30;101,70;3,60;5,30
22.47.11.017.00;Алтай;пашня;4;2023;Яр.ячмень;Горох;;21,84;Маргрет;РС-3;Покупные;минимальная;3,33;230,30;159,00;3,70;5,20
22.47.11.018.00;Алтай;пашня;4;2023;Яр.ячмень;Горох;;40,14;Маргрет;РС-3;Покупные;минимальная;3,33;285,80;148,20;3,40;5,20
22.47.11.019.00;Алтай;пашня;4;2023;Яр.ячмень;Горох;;35,65;Маргрет;РС-3;Покупные;минимальная;3,33;236,50;169,00;3,20;5,10
22.47.11.020.00;Алтай;пашня;4;2023;Соя;Яр.пшеница мягкая;;38,63;СИБНИИК 9;РС-1;Покупные;минимальная;1,40;287,30;115,00;2,90;5,00
22.47.11.021.00;Алтай;пашня;4;2023;Соя;Яр.пшеница мягкая;;36,64;СИБНИИК 9;РС-1;Покупные;минимальная;1,40;298,60;132,80;3,40;5,00
22.47.11.022.00;Алтай;пашня;4;2023;Соя;Яр.пшеница мягкая;;41,32;СИБНИИК 9;РС-1;Покупные;минимальная;1,40;268,80;131,60;3,50;5,20
22.47.11.023.00;Алтай;пашня;4;2023;Соя;Яр.пшеница мягкая;;36,57;СИБНИИК 9;РС-1;Покупные;минимальная;1,40;353,50;291,80;3,50;5,20
22.47.11.024.00;Алтай;пашня;4;2023;Соя;Яр.пшеница мягкая;;84,15;СИБНИИК 9;РС-1;Покупные;минимальная;1,40;242,80;145,70;3,30;5,20
22.47.11.025.01;Алтай;пашня;4;2023;Соя;Яр.пшеница мягкая;;120,95;СИБНИИК 9;РС-1;Покупные;минимальная;1,40;249,60;132,70;3,70;5,30
22.47.11.025.02;Алтай;пашня;4;2023;Люпин белый;Яр.пшеница мягкая;;4,86;;;;;;249,60;132,70;3,70;5,30
22.47.11.026.00;Алтай;пашня;3;2023;Яр.пшеница мягкая;Яр.пшеница мягкая;;80,97;Ликамеро;ЭС;Покупные;минимальная;3,30;210,10;181,00;4,00;5,20
22.47.11.027.00;Алтай;пашня;3;2023;Яр.пшеница мягкая;Овёс;;59,49;Ликамеро;ЭС;Покупные;минимальная;3,30;217,50;159,20;3,80;5,10
22.47.11.028.00;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;31,79;Скипетр;ЭС;Покупные;минимальная;3,80;218,00;145,10;4,00;5,20
22.47.11.029.01;Алтай;пашня;3;2023;Яр.ячмень;Горох;;114,55;Маргрет;РС-3;Покупные;минимальная;3,33;227,90;147,70;4,10;5,20
22.47.11.029.02;Алтай;пашня;3;2023;Оз.пшеница мягкая;Пар;;191,60;Скипетр;ЭС;Покупные;минимальная;3,80;227,90;147,70;4,10;5,20
22.47.11.030.01;Алтай;пашня;3;2023;Одн.тр.(вика+овёс)корм;Пар;;133,18;;;Покупные;минимальная;3,00;344,70;178,70;2,80;5,20
22.47.11.030.02;Алтай;пашня;3;2023;Яр.ячмень;Оз.пшеница мягкая;;113,92;;РС-3;Покупные;минимальная;3,33;344,70;178,70;2,80;5,20
22.47.11.031.00;Алтай;пашня;4;2023;Яр.ячмень;Пар;;113,15;Маргрет;РС-3;Покупные;минимальная;3,33;271,30;113,80;3,00;5,20
22.47.11.032.00;Алтай;пашня;4;2023;Соя;Яр.пшеница мягкая;;122,06;;РС-1;Покупные;минимальная;1,40;340,80;120,70;3,50;5,20
22.47.11.033.01;Алтай;пашня;3;2023;Соя;Яр.пшеница мягкая;;271,39;СИБНИИК 9;РС-1;Покупные;минимальная;1,40;304,00;147,50;3,20;5,20
22.47.11.033.02;Алтай;пашня;3;2023;Яр.ячмень;Горох;;171,88;Маргрет;РС-1;Покупные;минимальная;3,33;304,00;147,50;3,20;5,20
02.09.02.002.01;Башкирия;пашня;4;2023;Подсолнечник;Чечевица;;120,25;Смесь сортов;РС-1;Покупные;классическая с плугом;1,98;;;;
02.09.02.002.02;Башкирия;пашня;4;2023;Залежь, лес;Залежь;;49,70;;;;;;;;;
02.09.02.003.00;Башкирия;пашня;4;2023;Пар;Залежь;;91,78;;;;;;;;;
02.09.02.004.00;Башкирия;пашня;4;2023;Залежь, кустарник;Залежь, кустарник;;39,21;;;;;;;;;
02.09.02.005.00;Башкирия;пашня;4;2023;Залежь, лес;Залежь, лес;;186,24;;;;;;;;;
02.09.02.006.00;Башкирия;пашня;4;2023;Залежь, кустарник;Залежь, кустарник;;9,74;;;;;;;;;
02.09.02.007.00;Башкирия;пашня;4;2023;Залежь, кустарник;Залежь, кустарник;;40,36;;;;;;;;;
02.09.02.008.00;Башкирия;пашня;4;2023;Залежь;Залежь;;5,27;;;;;;;;;
02.09.02.010.00;Башкирия;пашня;4;2023;Пар;Залежь;;51,90;;;;;;;;;
02.09.02.013.00;Башкирия;пашня;4;2023;Залежь;Залежь;;25,06;;;;;;;;;
02.09.02.015.00;Башкирия;пашня;4;2023;Подсолнечник;Чечевица;;36,34;Сузука;РС-1;Покупные;классическая с плугом;1,98;;;;
02.09.02.019.00;Башкирия;пашня;4;2023;Яр.ячмень;Чечевица;;50,78;Вакула;РС-1;Свои;классическая с плугом;2,85;;;;
02.09.03.032.00;Башкирия;пашня;4;2023;Чечевица;Кукуруза силос;;105,42;Рэдкот;РС-2;Свои;классическая с плугом;1,40;;;;
02.09.06.001.00;Башкирия;пашня;4;2023;Залежь, лес;Залежь, лес;;46,24;;;;;;;;;
02.09.06.002.00;Башкирия;пашня;4;2023;Залежь, лес;Залежь, лес;;33,46;;;;;;;;;
02.09.06.003.00;Башкирия;пашня;4;2023;Залежь, лес;Залежь, лес;;12,84;;;;;;;;;
02.09.06.004.01;Башкирия;пашня;4;2023;Чечевица;Кукуруза силос;;56,41;Кермит;;Покупные;классическая с плугом;1,40;;;;
02.09.06.004.02;Башкирия;пашня;4;2023;Одн.тр.суданская тр.корм.;"Подсолнечник; Кукуруза силос";;66,52;(нет сорта);РС-1;Покупные;классическая с плугом;4,00;;;;
02.09.06.004.03;Башкирия;пашня;4;2023;Залежь;Залежь;;28,31;;;;;;;;;
02.09.06.004.04;Башкирия;пашня;4;2023;Пар;"Подсолнечник; Кукуруза силос";;51,42;(нет сорта);Без репродукции;Покупные;классическая с плугом;;;;;
02.09.06.004.05;Башкирия;пашня;4;2023;Пар;;;37,91;;;;;;;;;
02.09.06.005.00;Башкирия;пашня;4;2023;Залежь, лес;Залежь, лес;;54,64;;;;;;;;;
02.09.06.006.00;Башкирия;пашня;4;2023;Залежь, лес;Залежь, лес;;22,64;;;;;;;;;
02.09.06.007.00;Башкирия;пашня;4;2023;Залежь, лес;Залежь, лес;;30,84;;;;;;;;;
02.09.06.009.00;Башкирия;пашня;4;2023;Залежь, лес;Залежь, лес;;6,29;;;;;;;;;
02.09.06.010.00;Башкирия;пашня;4;2023;Залежь, лес;Залежь, лес;;31,00;;;;;;;;;
02.09.06.011.01;Башкирия;пашня;4;2023;Одн.тр.суданская тр.корм.;Подсолнечник;;130,82;;;;классическая с плугом;4,00;;;;
02.09.06.011.02;Башкирия;пашня;4;2023;Подсолнечник;Оз.пшеница мягкая;;101,78;Фаусто;РС-1;Покупные;классическая с плугом;1,98;;;;
02.09.06.012.01;Башкирия;пашня;4;2023;Чечевица;Кукуруза силос;;57,01;Рэдкот;РС-2;Свои;классическая с плугом;1,40;;;;
02.09.06.012.02;Башкирия;пашня;4;2023;Лён масличный;Подсолнечник;;101,93;Северный;РС-1;Покупные;классическая с плугом;1,20;;;;
02.09.06.014.00;Башкирия;пашня;4;2023;Одн.тр.суданская тр.корм.;Подсолнечник;;181,78;;;;классическая с плугом;4,00;;;;
02.09.06.016.01;Башкирия;пашня;4;2023;Одн.тр.суданская тр.корм.;Подсолнечник;;163,16;;;;классическая с плугом;4,00;;;;
02.09.06.016.02;Башкирия;пашня;4;2023;Лён масличный;Подсолнечник;;6,20;;;;классическая с плугом;1,20;;;;
02.09.06.017.00;Башкирия;пашня;4;2023;Одн.тр.суданская тр.корм.;Подсолнечник;;52,03;;;;классическая с плугом;4,00;;;;
02.09.06.019.00;Башкирия;пашня;4;2023;Одн.тр.суданская тр.корм.;Подсолнечник;;153,94;Кинельская 100;РС-1;Покупные;классическая с плугом;4,00;;;;
02.09.06.020.00;Башкирия;пашня;4;2023;Одн.тр.суданская тр.корм.;Подсолнечник;;68,46;;;;классическая с плугом;4,00;;;;
02.09.06.021.00;Башкирия;пашня;4;2023;Лён масличный;Подсолнечник;;46,43;Северный;РС-1;Покупные;классическая с плугом;1,20;;;;
02.09.06.022.00;Башкирия;пашня;4;2023;Лён масличный;Подсолнечник;;112,67;Северный;РС-1;Покупные;классическая с плугом;1,20;;;;
02.09.06.023.00;Башкирия;пашня;4;2023;Подсолнечник;Кукуруза силос;;191,81;Смесь сортов;РС-1;Покупные;классическая с плугом;1,98;;;;
02.09.06.025.00;Башкирия;пашня;4;2023;Лён масличный;Подсолнечник;;82,26;;;;классическая с плугом;1,20;;;;
02.09.06.026.00;Башкирия;пашня;4;2023;Лён масличный;Подсолнечник;;44,20;;;;классическая с плугом;1,20;;;;
02.09.06.027.00;Башкирия;пашня;4;2023;Подсолнечник;"Амарант; Оз.пшеница мягкая";;120,10;Фаусто;РС-1;Покупные;классическая с плугом;1,98;;;;
02.09.06.028.00;Башкирия;пашня;4;2023;Яр.ячмень;Подсолнечник;;90,34;Вакула;РС-1;Свои;классическая с плугом;2,85;;;;
02.09.06.029.00;Башкирия;пашня;4;2023;Лён масличный;Подсолнечник;;18,61;;;;классическая с плугом;1,20;;;;
02.09.06.030.00;Башкирия;пашня;4;2023;Лён масличный;Подсолнечник;;95,60;;;;классическая с плугом;1,20;;;;
02.09.06.031.00;Башкирия;пашня;4;2023;Одн.тр.суданская тр.корм.;Подсолнечник;;63,09;;;;классическая с плугом;4,00;;;;
02.09.06.032.00;Башкирия;пашня;4;2023;Подсолнечник;"Амарант; Оз.пшеница мягкая";;146,87;Фаусто;F1;Покупные;классическая с плугом;1,98;;;;
02.09.06.044.00;Башкирия;пашня;4;2023;Залежь;Не используется, чужая земля;;60,75;;;;;;;;;
02.09.06.048.00;Башкирия;пашня;4;2023;Подсолнечник;Кукуруза силос;;46,77;Сузука;РС-1;Покупные;классическая с плугом;1,98;;;;
02.09.06.049.00;Башкирия;пашня;4;2023;Подсолнечник;Чечевица;;49,03;Смесь сортов;РС-1;Покупные;классическая с плугом;1,98;;;;
02.09.06.054.01;Башкирия;пашня;4;2023;Люцерна пр.лет корм;Люцерна пр.лет корм;4;32,11;БН 06-18;РСт;Покупные;классическая с плугом;3,40;;;;
02.09.06.054.02;Башкирия;пашня;4;2023;Пар;Люцерна пр.лет корм;;13,60;;;;;;;;;
02.09.06.056.00;Башкирия;пашня;4;2023;Залежь;Не используется, чужая земля;;18,62;;;;;;;;;
02.09.06.057.00;Башкирия;пашня;4;2023;Козлятник пр.лет корм;Козлятник 1 г.ж.корм;2;60,03;Гале;РС-1;Покупные;классическая с плугом;3,00;;;;
02.09.06.061.01;Башкирия;пашня;4;2023;Яр.пшеница твёрдая;Кукуруза силос;;494,00;Смесь сортов;ЭС;Покупные;классическая с плугом;2,50;;;;
02.09.06.061.02;Башкирия;пашня;4;2023;Яр.ячмень;Кукуруза силос;;35,22;;;;классическая с плугом;2,85;;;;
02.09.06.063.00;Башкирия;пашня;4;2023;Козлятник пр.лет корм;Козлятник 1 г.ж.корм;2;11,74;Гале;РС-1;Покупные;классическая с плугом;3,00;;;;
02.09.06.064.00;Башкирия;пашня;4;2023;Козлятник пр.лет корм;Козлятник 1 г.ж.корм;2;310,72;Гале;РС-1;Покупные;классическая с плугом;3,00;;;;
02.09.06.065.00;Башкирия;пашня;4;2023;Кукуруза силос;Пар;;35,64;Каскад 166;РС-1;Покупные;классическая с плугом;5,53;;;;
