field,region,land_type,fertility_score,season,crop,crop_predecessor,crop_yearold,area,hybrid,reproduction,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph
22.47.10.001.00,Алтай,пашня,3.0,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,,272.29,,,,,3.0,174.02,300.63,4.07,5.61
22.47.10.002.00,Алтай,пашня,3.0,2023,Кукуруза силос,Лён масличный,,152.97,,РС-1,Покупные,минимальная,8.5,176.55,277.31,4.51,5.94
22.47.10.003.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Пар,,585.66,Скипетр,ЭС,Покупные,минимальная,3.8,159.94,292.93,3.74,6.05
22.47.10.004.00,Алтай,пашня,2.0,2023,Оз.пшеница мягкая,Пар,,271.44,Скипетр,ЭС,Покупные,минимальная,3.8,172.37,275.33,3.74,6.27
22.47.10.005.01,Алтай,пашня,3.0,2023,Строительство,Строительство,,84.84,,,,,,195.25,325.38,3.52,5.61
22.47.10.005.02,Алтай,пашня,3.0,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,,218.27,,,,,3.0,195.25,325.38,3.52,5.61
22.47.10.005.03,Алтай,пашня,3.0,2023,Пар,Кострец пр.лет корм,,50.75,,,,,,195.25,325.38,3.52,5.61
22.47.10.006.01,Алтай,пашня,3.0,2023,Кукуруза силос,Лён масличный,,104.1,,,Покупные,минимальная,8.5,162.86,243.6,4.07,6.05
22.47.10.006.02,Алтай,пашня,3.0,2023,Кукуруза силос,Лён масличный,,100.0,,,Покупные,минимальная,8.5,162.86,243.6,4.07,6.05
22.47.10.007.00,Алтай,пашня,3.0,2023,Одн.тр.(вика+овёс)корм,Кукуруза силос,,272.12,,,,,3.0,155.98,234.74,3.96,6.05
22.47.10.009.00,Алтай,пашня,3.0,2023,Кукуруза силос,Лён масличный,,159.75,,,Покупные,минимальная,8.5,166.32,257.62,3.52,5.94
22.47.10.010.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Пар,,58.52,Скипетр,ЭС,Покупные,минимальная,3.8,192.28,364.98,2.75,5.94
22.47.10.011.01,Алтай,пашня,3.0,2023,Кукуруза силос,Яр.пшеница мягкая,,140.0,Росс 140 СВ+,РС-1,Покупные,минимальная,8.5,162.64,267.08,4.18,6.44
22.47.10.011.02,Алтай,пашня,3.0,2023,Кукуруза силос,Яр.пшеница мягкая,,93.55,,РС-1,Покупные,минимальная,8.5,162.64,267.08,4.18,6.44
22.47.10.012.01,Алтай,пашня,3.0,2023,Кукуруза силос,Яр.пшеница мягкая,,77.55,,РС-1,Покупные,минимальная,8.5,147.62,256.92,3.67,6.16
22.47.10.012.02,Алтай,пашня,3.0,2023,Кукуруза силос,Яр.пшеница мягкая,,128.66,,,Покупные,минимальная,8.5,147.62,256.92,3.67,6.16
22.47.10.012.03,Алтай,пашня,3.0,2023,Залежь,Яр.пшеница мягкая,,3.17,,,,минимальная,,147.62,256.92,3.67,6.16
22.47.10.013.01,Алтай,пашня,1.0,2023,Пар,Яр.пшеница мягкая,,110.41,,,,,,176.99,298.21,3.96,6.49
22.47.10.013.02,Алтай,пашня,1.0,2023,"Залежь, лес","Залежь, лес",,306.42,,,,,,176.99,298.21,3.96,6.49
22.47.10.013.03,Алтай,пашня,1.0,2023,"Залежь, лес","Залежь, лес",,19.55,,,,,,176.99,298.21,3.96,6.49
22.47.10.014.00,Алтай,пашня,2.0,2023,Кукуруза силос,Оз.пшеница мягкая,,300.58,,,,,8.5,172.26,291.61,3.3,6.27
22.47.10.015.01,Алтай,пашня,2.0,2023,Кукуруза силос,Яр.пшеница мягкая,,157.63,,РС-1,Покупные,минимальная,8.5,149.16,245.74,3.96,6.05
22.47.10.015.02,Алтай,пашня,2.0,2023,Залежь,Залежь,,13.47,,,,,,149.16,245.74,3.96,6.05
22.47.10.016.00,Алтай,пашня,3.0,2023,Кукуруза силос,Пар,,432.37,П 7043,F1,Покупные,классическая с плугом,8.5,191.29,317.35,3.96,5.61
22.47.10.017.00,Алтай,пашня,3.0,2023,Кукуруза силос,Лён масличный,,73.69,Ликамеро,,Покупные,минимальная,8.5,150.26,214.83,4.07,6.38
22.47.10.018.00,Алтай,пашня,3.0,2023,Кукуруза силос,Лён масличный,,10.84,,,Покупные,минимальная,8.5,112.2,213.4,4.07,5.83
22.47.10.019.00,Алтай,пашня,3.0,2023,Кукуруза силос,Яр.пшеница мягкая,,51.62,,,Покупные,минимальная,8.5,163.13,246.18,4.4,6.27
22.47.11.001.00,Алтай,пашня,3.0,2023,Одн.тр.(вика+овёс)корм,Яр.ячмень,,274.36,,,,,3.0,250.36,109.12,3.3,5.83
22.47.11.002.00,Алтай,пашня,4.0,2023,Яр.пшеница мягкая,Пар,,214.84,Ликамеро,ЭС,Покупные,минимальная,3.3,236.61,122.65,3.74,5.83
22.47.11.003.00,Алтай,пашня,3.0,2023,Яр.ячмень,Яр.пшеница мягкая,,270.54,Маргрет,РС-1,Покупные,минимальная,3.33,245.08,197.23,4.51,5.5
22.47.11.004.00,Алтай,пашня,4.0,2023,Яр.ячмень,Горох,,66.28,Маргрет,РС-1,Покупные,минимальная,3.33,170.06,288.09,3.74,6.16
22.47.11.005.00,Алтай,пашня,4.0,2023,Яр.ячмень,Горох,,252.76,Маргрет,РС-1,Покупные,минимальная,3.33,189.97,267.52,4.29,5.72
22.47.11.006.00,Алтай,пашня,4.0,2023,Чечевица,Пар,,258.72,,РС-1,Покупные,минимальная,1.9,216.04,221.1,4.4,5.83
22.47.11.007.00,Алтай,пашня,3.0,2023,Пар,Яр.ячмень,,217.41,,,,минимальная,,263.01,121.22,2.75,5.83
22.47.11.008.00,Алтай,пашня,4.0,2023,Одн.тр.(вика+овёс)корм,Яр.ячмень,,190.3,,,Покупные,минимальная,3.0,246.07,143.44,3.08,5.61
22.47.11.009.00,Алтай,пашня,4.0,2023,Яр.пшеница мягкая,Соя,,473.95,Ликамеро,ЭС,Покупные,минимальная,3.3,268.62,143.44,4.18,5.72
22.47.11.010.00,Алтай,пашня,4.0,2023,Яр.ячмень,Горох,,78.12,Маргрет,РС-1,Покупные,минимальная,3.33,155.21,283.58,4.18,6.38
22.47.11.011.01,Алтай,пашня,3.0,2023,Пар,Яр.пшеница мягкая,,79.1,,,,,,211.37,182.44,3.99,6.02
22.47.11.011.02,Алтай,пашня,3.0,2023,"Залежь, лес","Залежь, лес",,29.41,,,,,,211.37,182.44,3.99,6.02
22.47.11.011.03,Алтай,пашня,3.0,2023,Пар,Яр.пшеница мягкая,,14.0,,,,,,211.37,182.44,3.99,6.02
22.47.11.011.04,Алтай,пашня,3.0,2023,Пар,Яр.пшеница мягкая,,3.46,,,,,,211.37,182.44,3.99,6.02
22.47.11.012.00,Алтай,пашня,2.0,2023,Пар,Пар,,4.74,,,,,,190.3,291.5,3.74,6.16
22.47.11.013.00,Алтай,пашня,3.0,2023,Яр.ячмень,Горох,,69.06,Маргрет,РС-1,Покупные,минимальная,3.33,228.47,176.77,4.51,5.94
22.47.11.014.00,Алтай,пашня,3.0,2023,Одн.тр.(вика+овёс)корм,Яр.ячмень,,312.27,,РС-1,Покупные,минимальная,3.0,312.18,134.42,3.3,5.61
22.47.11.015.00,Алтай,пашня,4.0,2023,Одн.тр.(вика+овёс)корм,Яр.ячмень,,205.95,,РС-1,Покупные,минимальная,3.0,283.91,129.25,3.19,5.61
22.47.11.016.00,Алтай,пашня,4.0,2023,Яр.ячмень,Горох,,21.76,Маргрет,РС-3,Покупные,минимальная,3.33,264.33,111.87,3.96,5.83
22.47.11.017.00,Алтай,пашня,4.0,2023,Яр.ячмень,Горох,,21.84,Маргрет,РС-3,Покупные,минимальная,3.33,253.33,174.9,4.07,5.72
22.47.11.018.00,Алтай,пашня,4.0,2023,Яр.ячмень,Горох,,40.14,Маргрет,РС-3,Покупные,минимальная,3.33,314.38,163.02,3.74,5.72
22.47.11.019.00,Алтай,пашня,4.0,2023,Яр.ячмень,Горох,,35.65,Маргрет,РС-3,Покупные,минимальная,3.33,260.15,185.9,3.52,5.61
22.47.11.020.00,Алтай,пашня,4.0,2023,Соя,Яр.пшеница мягкая,,38.63,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,316.03,126.5,3.19,5.5
22.47.11.021.00,Алтай,пашня,4.0,2023,Соя,Яр.пшеница мягкая,,36.64,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,328.46,146.08,3.74,5.5
22.47.11.022.00,Алтай,пашня,4.0,2023,Соя,Яр.пшеница мягкая,,41.32,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,295.68,144.76,3.85,5.72
22.47.11.023.00,Алтай,пашня,4.0,2023,Соя,Яр.пшеница мягкая,,36.57,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,388.85,320.98,3.85,5.72
22.47.11.024.00,Алтай,пашня,4.0,2023,Соя,Яр.пшеница мягкая,,84.15,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,267.08,160.27,3.63,5.72
22.47.11.025.01,Алтай,пашня,4.0,2023,Соя,Яр.пшеница мягкая,,120.95,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,274.56,145.97,4.07,5.83
22.47.11.025.02,Алтай,пашня,4.0,2023,Люпин белый,Яр.пшеница мягкая,,4.86,,,,,,274.56,145.97,4.07,5.83
22.47.11.026.00,Алтай,пашня,3.0,2023,Яр.пшеница мягкая,Яр.пшеница мягкая,,80.97,Ликамеро,ЭС,Покупные,минимальная,3.3,231.11,199.1,4.4,5.72
22.47.11.027.00,Алтай,пашня,3.0,2023,Яр.пшеница мягкая,Овёс,,59.49,Ликамеро,ЭС,Покупные,минимальная,3.3,239.25,175.12,4.18,5.61
22.47.11.028.00,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Пар,,31.79,Скипетр,ЭС,Покупные,минимальная,3.8,239.8,159.61,4.4,5.72
22.47.11.029.01,Алтай,пашня,3.0,2023,Яр.ячмень,Горох,,114.55,Маргрет,РС-3,Покупные,минимальная,3.33,250.69,162.47,4.51,5.72
22.47.11.029.02,Алтай,пашня,3.0,2023,Оз.пшеница мягкая,Пар,,191.6,Скипетр,ЭС,Покупные,минимальная,3.8,250.69,162.47,4.51,5.72
22.47.11.030.01,Алтай,пашня,3.0,2023,Одн.тр.(вика+овёс)корм,Пар,,133.18,,,Покупные,минимальная,3.0,379.17,196.57,3.08,5.72
22.47.11.030.02,Алтай,пашня,3.0,2023,Яр.ячмень,Оз.пшеница мягкая,,113.92,,РС-3,Покупные,минимальная,3.33,379.17,196.57,3.08,5.72
22.47.11.031.00,Алтай,пашня,4.0,2023,Яр.ячмень,Пар,,113.15,Маргрет,РС-3,Покупные,минимальная,3.33,298.43,125.18,3.3,5.72
22.47.11.032.00,Алтай,пашня,4.0,2023,Соя,Яр.пшеница мягкая,,122.06,,РС-1,Покупные,минимальная,1.4,374.88,132.77,3.85,5.72
22.47.11.033.01,Алтай,пашня,3.0,2023,Соя,Яр.пшеница мягкая,,271.39,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,334.4,162.25,3.52,5.72
22.47.11.033.02,Алтай,пашня,3.0,2023,Яр.ячмень,Горох,,171.88,Маргрет,РС-1,Покупные,минимальная,3.33,334.4,162.25,3.52,5.72
46.11.01.001.00,Курск,пашня,3.0,2023,Соя,Яр.пшеница твёрдая,,123.77,ГЛ Мелани,,,,2.09,105.6,188.1,6.05,5.72
46.11.01.002.00,Курск,пашня,4.0,2023,Пар,Яр.пшеница твёрдая,,192.0,,,,,,61.6,143.0,6.6,5.28
46.22.01.001.01,Курск,пашня,4.0,2023,Соя,Яр.пшеница мягкая,,55.07,ОАК Пруденс,,,,2.09,103.57,93.92,5.69,5.4
46.22.01.001.02,Курск,пашня,4.0,2023,Соя,Яр.пшеница мягкая,,194.75,ОАК Пруденс,,,,2.09,103.57,93.92,5.69,5.4
46.22.01.002.00,Курск,пашня,3.0,2023,Яр.ячмень,Соя,,162.45,Эксплоер,,,,5.18,61.67,88.69,5.32,5.48
46.22.01.003.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Соя,,217.98,Ликамеро,,,,5.0,130.01,99.0,5.84,5.58
46.22.01.004.00,Курск,пашня,4.0,2023,Чечевица,Оз.пшеница мягкая,,50.69,Кермит,,,,2.0,73.39,103.71,6.14,5.59
46.22.01.005.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Соя,,127.06,Ликамеро,,,,5.0,116.77,111.44,5.66,5.72
46.22.01.006.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Соя,,68.8,Ликамеро,,,,5.0,126.03,90.99,5.47,5.53
46.22.01.008.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Нут,,104.67,Ликамеро,,,,5.0,90.86,99.55,5.61,5.47
46.22.01.009.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Нут,,41.48,Ликамеро,,,,5.0,81.13,79.48,5.77,5.69
46.22.01.010.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Нут,,6.34,Ликамеро,,,,5.0,58.3,89.1,5.5,5.72
46.22.01.011.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Соя,,230.46,Ликамеро,,,,5.0,164.95,98.95,5.92,6.27
46.22.01.012.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Соя,,39.8,Канюк,,,,5.0,43.73,97.08,5.23,5.5
46.22.01.013.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Соя,,6.26,Канюк,,,,5.0,40.7,94.6,6.71,5.39
46.22.01.014.01,Курск,пашня,4.0,2023,Яр.пшеница твёрдая,Соя,,15.7,Памяти Янченко,,,,3.84,119.63,77.6,5.5,5.98
46.22.01.014.02,Курск,пашня,4.0,2023,Яр.пшеница твёрдая,Соя,,17.0,Памяти Янченко,,,,3.84,119.63,77.6,5.5,5.98
46.22.01.014.03,Курск,пашня,4.0,2023,Яр.пшеница твёрдая,Соя,,114.7,Памяти Янченко,,,,3.84,119.63,77.6,5.5,5.98
46.22.01.015.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Нут,,42.44,Ликамеро,,,,5.0,91.74,98.56,5.61,6.16
46.22.01.016.00,Курск,пашня,4.0,2023,Яр.пшеница мягкая,Соя,,53.72,Ликамеро,,,,5.0,75.72,103.03,5.48,5.74
46.22.01.017.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Чечевица,,167.0,Канюк,,,,5.0,87.73,82.36,5.58,5.99
46.22.01.018.01,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Лён масличный; Чечевица,,58.0,Канюк,,,,5.0,65.48,76.59,6.01,6.04
46.22.01.018.02,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Лён масличный; Чечевица,,64.0,Канюк,,,,5.0,65.48,76.59,6.01,6.04
46.22.01.018.03,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Лён масличный; Чечевица,,417.32,Канюк,,,,5.0,65.48,76.59,6.01,6.04
46.22.01.019.01,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Соя,,13.0,Канюк,,,,5.0,122.89,98.61,5.7,6.27
46.22.01.019.02,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Соя,,92.22,Канюк,,,,5.0,122.89,98.61,5.7,6.27
46.22.01.020.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Соя,,14.16,Канюк,,,,5.0,276.65,67.65,5.66,5.45
46.22.01.021.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Соя,,11.63,Канюк,,,,5.0,85.25,78.65,6.27,6.27
46.22.01.022.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Чечевица,,75.46,Канюк,,,,5.0,238.01,81.54,5.68,7.11
46.22.01.023.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Соя,,18.74,Канюк,,,,5.0,26.4,164.45,7.7,7.65
46.22.01.024.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Чечевица,,48.72,Канюк,,,,5.0,81.18,94.82,5.76,6.31
46.22.01.025.00,Курск,пашня,3.0,2023,Яр.пшеница мягкая,Чечевица,,143.93,Канюк,,,,5.0,80.61,83.44,5.94,6.47
46.28.05.002.00,Курск,пашня,3.0,2023,Кукуруза зерно,Яр.пшеница мягкая,,244.98,,,,,6.88,82.5,150.7,6.6,7.04
46.28.05.003.00,Курск,пашня,3.0,2023,Соя,Яр.ячмень,,146.21,Акцент 0852,,,,2.09,67.1,113.3,7.04,6.05
46.28.05.004.00,Курск,пашня,3.0,2023,Горох,Яр.пшеница мягкая,,250.1,Мадрас,,,,3.12,64.9,155.1,6.38,6.27
46.28.05.005.00,Курск,пашня,3.0,2023,Горох,Яр.пшеница мягкая,,162.71,Мадрас,,,,3.12,135.3,167.2,6.6,6.93
46.28.05.006.00,Курск,пашня,3.0,2023,Овёс,Оз.пшеница мягкая,,202.23,Авеню,,,,4.0,101.2,111.1,6.49,6.05
46.28.05.007.00,Курск,пашня,3.0,2023,Соя,Кукуруза зерно,,66.47,Акцент,,,,2.09,94.6,141.9,6.71,6.38
46.28.05.008.00,Курск,пашня,3.0,2023,Соя,Оз.пшеница мягкая,,98.93,Аргента,,,,2.09,122.1,202.4,6.38,6.6
46.28.05.009.00,Курск,пашня,4.0,2023,Соя,Яр.пшеница мягкая,,164.39,ГЛ Мелани,,,,2.09,89.1,151.8,7.04,6.05
46.28.05.010.00,Курск,пашня,3.0,2023,Соя,Яр.ячмень,,152.72,Аргента,,,,2.09,95.7,139.7,6.71,6.71
46.28.05.011.00,Курск,пашня,4.0,2023,Соя,Яр.пшеница мягкая,,120.25,Акцент,,,,2.09,106.7,165.0,6.38,6.05
46.28.05.012.00,Курск,пашня,3.0,2023,Соя,Яр.ячмень,,10.68,Аргента,,,,2.09,130.9,229.9,6.93,6.16
46.28.05.013.00,Курск,пашня,3.0,2023,Соя,Яр.пшеница мягкая,,13.8,Аргента,,,,2.09,97.9,181.5,6.27,5.94
46.28.05.014.00,Курск,пашня,4.0,2023,Соя,Яр.пшеница мягкая,,13.81,Аргента,,,,2.09,124.3,184.8,6.6,6.71
46.28.05.015.00,Курск,пашня,4.0,2023,Соя,Яр.пшеница мягкая,,116.6,Аргента,,,,2.09,98.45,188.1,6.6,5.89
46.28.05.017.01,Курск,пашня,4.0,2023,Чечевица,Яр.ячмень,,107.17,Кермит,,,,2.0,63.8,172.7,6.71,5.72
46.28.05.017.02,Курск,пашня,,2023,"Не используется, чужая земля",Не используется,,18.01,,,,,,63.8,172.7,6.71,5.72
46.28.05.018.00,Курск,пашня,3.0,2023,Гречиха,Яр.ячмень,,163.11,Диана,,,,1.5,73.7,185.9,6.27,5.83
46.28.05.019.00,Курск,пашня,3.0,2023,Чечевица,Яр.ячмень,,175.89,Кермит,,,,2.0,72.6,148.5,6.38,5.61
46.28.05.021.01,Курск,пашня,4.0,2023,Яр.ячмень,Горох,,87.84,Грэйс,,,,5.18,84.7,126.5,6.27,6.05
46.28.05.021.02,Курск,пашня,4.0,2023,Оз.пшеница мягкая,Горох,,63.56,Стиль 18,СЭ,Покупные,,6.02,84.7,126.5,6.27,6.05
46.28.05.022.00,Курск,пашня,3.0,2023,Оз.пшеница мягкая,Горох,,36.58,Стиль 18,СЭ,Покупные,,6.02,80.3,147.4,7.26,6.93
